Function,Alpha,Best_Temperature,Lambda
APS,0.1,0.10314480661523805,
APS,0.15,0.1000532615330806,
APS,0.2,0.10139253489752549,
APS,0.25,0.24595228876761777,
RAPS,0.1,0.10380197281502251,0.008357896885019755
RAPS,0.15,0.10162370423079647,0.13171775971443256
RAPS,0.2,0.10345045315413344,0.3902138725982041
RAPS,0.25,0.10699858367086625,0.004431951570958215
SAPS,0.1,1.1350458718068384,0.0009767558715134683
SAPS,0.15,0.2374245697739303,0.0029230963279330228
SAPS,0.2,9.45517426213012,0.0020929906442391406
SAPS,0.25,0.6642571908511493,0.1418194793019299
