Function,Alpha,Best_Temperature,Lambda
APS,0.1,0.5766497252089529,
APS,0.15,0.5660917554133552,
APS,0.2,0.5784421405920767,
APS,0.25,0.5691215098405787,
RAPS,0.1,0.5754774892313922,0.11708651497102962
RAPS,0.15,0.5922924418335446,0.11496299373847059
RAPS,0.2,0.5616027794726391,0.16696396634745583
RAPS,0.25,0.5784820323927303,0.7551197601371104
SAPS,0.1,0.5784959417438249,0.7363590428846708
SAPS,0.15,0.5765729587154864,0.45764846417892147
SAPS,0.2,0.5757766170120894,0.5257161429473312
SAPS,0.25,0.5667775440455887,0.5521759779941748
